n,m,i,repeticoes,execucoes_ok,mensagens_formula,tempo_total_ms_media,tempo_total_ms_desvio,latencia_media_ms_media,latencia_media_ms_desvio,latencia_max_ms_media,latencia_max_ms_desvio,vazao_por_s_media,vazao_por_s_desvio,taxa_sucesso_media,taxa_sucesso_desvio,mensagens_media,mensagens_desvio,memoria_max_mb_media,memoria_max_mb_desvio
2,10,3,3,3,186,145,2.65,136.77,2.12,143,2.0,41.39,0.75,1.0,0.0,186,0.0,94.2,2.35
10,10,3,3,3,930,204.67,0.58,177.43,4.3,194.67,1.53,146.58,0.42,1.0,0.0,930,0.0,121.93,4.1
50,2,3,3,3,1050,266.67,2.52,223.1,7.84,246,5.2,562.53,5.32,1.0,0.0,1050,0.0,148.03,6.49
50,5,3,3,3,2400,338.33,9.5,277.07,3.01,313,6.08,443.58,12.45,1.0,0.0,2400,0.0,175.23,3.23
50,10,1,3,3,1550,249,9.0,215.5,4.31,231.67,7.77,200.98,7.27,1.0,0.0,1550,0.0,157.07,1.45
50,10,3,3,3,4650,666.33,112.52,572.07,81.87,644.33,113.21,229.26,36.95,1.0,0.0,4650,0.0,184.0,0.52
50,10,5,3,3,7750,847,5.29,733.27,10.11,823.33,5.51,295.17,1.85,1.0,0.0,7750,0.0,292.2,24.96
50,10,9,3,3,13950,1349.33,220.04,1143.07,251.93,1323.67,221.76,339.74,57.63,1.0,0.0,13950,0.0,424.73,17.96
50,25,3,3,3,11400,1010,48.12,886.73,54.97,982.33,54.54,148.74,7.13,1.0,0.0,11400,0.0,312.13,14.23
50,49,3,3,3,22200,1815.33,312.31,1690.4,305.0,1785.67,315.53,84.43,15.7,1.0,0.0,22200,0.0,446.87,19.29
100,10,3,3,3,9300,849.33,240.57,749.33,222.92,827.33,238.36,372.4,102.89,1.0,0.0,9300,0.0,336.17,7.81
199,10,3,3,3,18507,1919.33,179.29,1651.13,100.95,1884.33,178.23,312.78,27.82,1.0,0.0,18507,0.0,507.37,14.56
199,49,9,3,3,265068,28601,5516.49,27596.2,5553.64,28469.67,5428.26,55.77,12.74,0.86,0.05,238733.33,31632.05,1133.2,109.35
