n,m,i,rep,status,negociacoes_esperadas,negociacoes_finalizadas,concluidas,sem_proposta,timeout_resultado,taxa_sucesso,tempo_total_ms,latencia_media_ms,latencia_max_ms,vazao_por_s,mensagens,mensagens_formula,memoria_max_mb,duracao_processo_s
100,10,3,1,ok,300,300,300,0,0,1.0,1106,986.1,1081,271.25,9300,9300,333.3,6
100,10,3,2,ok,300,300,300,0,0,1.0,813,718.4,793,369.0,9300,9300,330.2,5
100,10,3,3,ok,300,300,300,0,0,1.0,629,543.5,608,476.95,9300,9300,345.0,5
10,10,3,1,ok,30,30,30,0,0,1.0,205,177.3,193,146.34,930,930,117.2,4
10,10,3,2,ok,30,30,30,0,0,1.0,204,181.8,195,147.06,930,930,124.2,6
10,10,3,3,ok,30,30,30,0,0,1.0,205,173.2,196,146.34,930,930,124.4,4
199,10,3,1,ok,597,597,597,0,0,1.0,1837,1625.6,1788,324.99,18507,18507,523.5,6
199,10,3,2,ok,597,597,597,0,0,1.0,1796,1565.4,1775,332.41,18507,18507,495.2,6
199,10,3,3,ok,597,597,597,0,0,1.0,2125,1762.4,2090,280.94,18507,18507,503.4,7
199,49,9,1,ok,1791,1791,1644,0,147,0.9179,24506,23780.5,24417,67.09,250719,265068,1043.2,29
199,49,9,2,ok,1791,1791,1539,0,252,0.8593,26423,25040.5,26355,58.24,202860,265068,1254.9,33
199,49,9,3,ok,1791,1791,1464,0,327,0.8174,34874,33967.6,34637,41.98,262621,265068,1101.5,40
2,10,3,1,ok,6,6,6,0,0,1.0,143,135.3,141,41.96,186,186,94.1,5
2,10,3,2,ok,6,6,6,0,0,1.0,144,135.8,143,41.67,186,186,91.9,4
2,10,3,3,ok,6,6,6,0,0,1.0,148,139.2,145,40.54,186,186,96.6,4
50,10,1,1,ok,50,50,50,0,0,1.0,249,218.7,234,200.8,1550,1550,155.6,4
50,10,1,2,ok,50,50,50,0,0,1.0,258,217.2,238,193.8,1550,1550,157.1,5
50,10,1,3,ok,50,50,50,0,0,1.0,240,210.6,223,208.33,1550,1550,158.5,4
50,10,3,1,ok,150,150,150,0,0,1.0,570,509.8,553,263.16,4650,4650,183.4,5
50,10,3,2,ok,150,150,150,0,0,1.0,639,541.6,609,234.74,4650,4650,184.3,5
50,10,3,3,ok,150,150,150,0,0,1.0,790,664.8,771,189.87,4650,4650,184.3,5
50,10,5,1,ok,250,250,250,0,0,1.0,841,721.6,817,297.27,7750,7750,263.4,5
50,10,5,2,ok,250,250,250,0,0,1.0,851,739.4,826,293.77,7750,7750,305.7,6
50,10,5,3,ok,250,250,250,0,0,1.0,849,738.8,827,294.46,7750,7750,307.5,5
50,10,9,1,ok,450,450,450,0,0,1.0,1374,1197.1,1336,327.51,13950,13950,438.8,5
50,10,9,2,ok,450,450,450,0,0,1.0,1556,1363.6,1539,289.2,13950,13950,404.5,6
50,10,9,3,ok,450,450,450,0,0,1.0,1118,868.5,1096,402.5,13950,13950,430.9,5
50,25,3,1,ok,150,150,150,0,0,1.0,1056,940.8,1038,142.05,11400,11400,298.5,5
50,25,3,2,ok,150,150,150,0,0,1.0,960,830.9,929,156.25,11400,11400,326.9,5
50,25,3,3,ok,150,150,150,0,0,1.0,1014,888.5,980,147.93,11400,11400,311.0,5
50,2,3,1,ok,150,150,150,0,0,1.0,267,229.0,249,561.8,1050,1050,149.3,4
50,2,3,2,ok,150,150,150,0,0,1.0,269,226.1,249,557.62,1050,1050,153.8,4
50,2,3,3,ok,150,150,150,0,0,1.0,264,214.2,240,568.18,1050,1050,141.0,5
50,49,3,1,ok,150,150,150,0,0,1.0,2073,1935.4,2044,72.36,22200,22200,464.4,6
50,49,3,2,ok,150,150,150,0,0,1.0,1905,1787.0,1879,78.74,22200,22200,450.0,6
50,49,3,3,ok,150,150,150,0,0,1.0,1468,1348.8,1434,102.18,22200,22200,426.2,6
50,5,3,1,ok,150,150,150,0,0,1.0,329,279.0,310,455.93,2400,2400,178.2,4
50,5,3,2,ok,150,150,150,0,0,1.0,338,278.6,320,443.79,2400,2400,175.7,5
50,5,3,3,ok,150,150,150,0,0,1.0,348,273.6,309,431.03,2400,2400,171.8,5
